Mod:Item:MetaData, Localized Name
randomthings:ingredient:5, Luminous Powder
randomthings:ingredient:6, Super Lubricent Tincture
randomthings:ingredient:7, Floo Powder
randomthings:ingredient:8, Plate Base
randomthings:ingredient:9, Precious Emerald
randomthings:ingredient:10, Lotus Blossom
randomthings:ingredient:11, Golden Egg
randomthings:ingredient:12, Spectre String
randomthings:ingredient:13, Blackout Powder
randomthings:itemfilter, Item Filter
randomthings:redstoneactivator, Redstone Activator
randomthings:redstoneremote, Redstone Remote
randomthings:goldencompass, Golden Compass
randomthings:blazeandsteel, Blaze and Steel
randomthings:runepattern, Rune Pattern
randomthings:superlubricentboots, Super Lubricent Boots
randomthings:floosign, Floo Sign
randomthings:idcard, ID Card
randomthings:emeraldcompass, Emerald Compass
randomthings:flootoken, Floo Token
randomthings:portkey, Portkey
randomthings:lotusseeds, Lotus Seeds
randomthings:soundpattern, Sound Pattern
randomthings:soundrecorder, Sound Recorder
randomthings:portablesounddampener, Portable Sound Dampener
randomthings:escaperope, Escape Rope
randomthings:weatheregg:0, Weather Egg <Sun>
randomthings:weatheregg:1, Weather Egg <Rain>
randomthings:weatheregg:2, Weather Egg <Storm>
randomthings:enderbucket, Ender Bucket
randomthings:reinforcedenderbucket, Reinforced Ender Bucket
randomthings:chunkanalyzer, Chunk Analyzer
randomthings:floopouch, Floo Pouch
randomthings:timeinabottle, Time in a bottle
randomthings:spectreilluminator, Spectre Illuminator
randomthings:spectrecharger:0, Spectre Charger
randomthings:spectrecharger:1, Redstone Spectre Charger
randomthings:spectrecharger:2, Ender Spectre Charger
randomthings:spectrecharger:3, Genesis Spectre Charger
randomthings:eclipsedclock, Eclipsed Clock
randomthings:grassseeds:0, Grass Seeds
randomthings:grassseeds:1, White Grass Seeds
randomthings:grassseeds:2, Orange Grass Seeds
randomthings:grassseeds:3, Magenta Grass Seeds
randomthings:grassseeds:4, Light Grass Seeds
randomthings:grassseeds:5, Yellow Grass Seeds
randomthings:grassseeds:6, Lime Grass Seeds
randomthings:grassseeds:7, Pink Grass Seeds
randomthings:grassseeds:8, Gray Grass Seeds
randomthings:grassseeds:9, Light Gray Grass Seeds
randomthings:grassseeds:10, Cyan Grass Seeds
randomthings:grassseeds:11, Purple Grass Seeds
randomthings:grassseeds:12, Blue Grass Seeds
randomthings:grassseeds:13, Brown Grass Seeds
randomthings:grassseeds:14, Green Grass Seeds
randomthings:grassseeds:15, Red Grass Seeds
randomthings:grassseeds:16, Black Grass Seeds
randomthings:spectrekey, Spectre Key
randomthings:spectreanchor, Spectre Anchor
randomthings:spectresword, Spectre Sword
randomthings:spectrepickaxe, Spectre Pickaxe
randomthings:spectreaxe, Spectre Axe
randomthings:spectreshovel, Spectre Shovel
randomthings:runedust:0, White Runic Dust
randomthings:runedust:1, Orange Runic Dust
randomthings:runedust:2, Magenta Runic Dust
randomthings:runedust:3, Light Blue Runic Dust
randomthings:runedust:4, Yellow Runic Dust
randomthings:runedust:5, Lime Runic Dust
randomthings:runedust:6, Pink Runic Dust
randomthings:runedust:7, Gray Runic Dust
randomthings:runedust:8, Silver Runic Dust
randomthings:runedust:9, Cyan Runic Dust
randomthings:runedust:10, Purple Runic Dust
randomthings:runedust:11, Blue Runic Dust
randomthings:runedust:12, Brown Runic Dust
randomthings:runedust:13, Green Runic Dust
randomthings:runedust:14, Red Runic Dust
randomthings:runedust:15, Black Runic Dust
reccomplex:block_selector, Block Selector
reccomplex:block_selector_floating, Floating Block Selector
reccomplex:inventory_generation_tag, Loot Generation Tag
reccomplex:inventory_generation_single_tag, Single Loot Generation Tag
reccomplex:inventory_generation_component_tag, Loot Table Component Tag
reccomplex:artifact_generation_tag, Artifact Generation Tag
reccomplex:book_generation_tag, Book Generation Tag
reccomplex:generic_space:0, Space (0 ~ Negative Space)
reccomplex:generic_space:1, Space (1 ~ Natural Air)
reccomplex:generic_space:2, Space (2)
reccomplex:generic_space:3, Space (3)
reccomplex:generic_space:4, Space (4)
reccomplex:generic_space:5, Space (5)
reccomplex:generic_space:6, Space (6)
reccomplex:generic_space:7, Space (7)
reccomplex:generic_space:8, Space (8)
reccomplex:generic_space:9, Space (9)
reccomplex:generic_space:10, Space (10)
reccomplex:generic_space:11, Space (11)
reccomplex:generic_space:12, Space (12)
reccomplex:generic_space:13, Space (13)
reccomplex:generic_space:14, Space (14)
reccomplex:generic_space:15, Space (15)
reccomplex:generic_solid:0, Solid (0 ~ Natural Floor)
reccomplex:generic_solid:1, Solid (1 ~ Barrier)
reccomplex:generic_solid:2, Solid (2)
reccomplex:generic_solid:3, Solid (3)
reccomplex:generic_solid:4, Solid (4)
reccomplex:generic_solid:5, Solid (5)
reccomplex:generic_solid:6, Solid (6)
reccomplex:generic_solid:7, Solid (7)
reccomplex:generic_solid:8, Solid (8)
reccomplex:generic_solid:9, Solid (9)
reccomplex:generic_solid:10, Solid (10)
reccomplex:generic_solid:11, Solid (11)
reccomplex:generic_solid:12, Solid (12)
reccomplex:generic_solid:13, Solid (13)
reccomplex:generic_solid:14, Solid (14)
reccomplex:generic_solid:15, Solid (15)
reccomplex:structure_generator, Structure Generator
reccomplex:maze_generator, Maze Generator
reccomplex:weighted_command_block, tile.spawn_command.name
reccomplex:spawn_script, Script Block
reccomplex:inspector, Inspector
redstonearsenal:storage:0, Fluxed Electrum Block
redstonearsenal:storage:1, Flux Crystal Block
redstonearsenal:material:0, Fluxed Electrum Blend
redstonearsenal:material:32, Fluxed Electrum Ingot
redstonearsenal:material:64, Fluxed Electrum Nugget
redstonearsenal:material:96, Fluxed Electrum Gear
redstonearsenal:material:128, Fluxed Electrum Plate
redstonearsenal:material:160, Flux Crystal
redstonearsenal:material:192, Obsidian Rod
redstonearsenal:material:193, Flux-Infused Obsidian Rod
redstonearsenal:material:224, Fluxed Armor Plating
redstonearsenal:util.quiver_flux, Flux-Infused Quiver
redstonearsenal:armor.helmet_flux, Flux-Infused Helm
redstonearsenal:armor.plate_flux, Flux-Infused Chestplate
redstonearsenal:armor.legs_flux, Flux-Infused Leggings
redstonearsenal:armor.boots_flux, Flux-Infused Boots
redstonearsenal:tool.wrench_flux, Flux-Infused OmniWrench
redstonearsenal:tool.battlewrench_flux, Flux-Infused BattleWrench
redstonearsenal:tool.sword_flux, Flux-Infused Sword
redstonearsenal:tool.shovel_flux, Flux-Infused Shovel
redstonearsenal:tool.pickaxe_flux, Flux-Infused Pickaxe
redstonearsenal:tool.axe_flux, Flux-Infused Axe
redstonearsenal:tool.bow_flux, Flux-Infused Bow
redstonearsenal:tool.fishing_rod_flux, Flux-Infused Fishing Rod
redstonearsenal:tool.sickle_flux, Flux-Infused Sickle
redstonearsenal:tool.hammer_flux, Flux-Infused Hammer
redstonearsenal:tool.excavator_flux, Flux-Infused Excavator
redstonearsenal:tool.shield_flux, Flux-Infused Shield
redstonerepository:storage:0, Gelid Enderium Block
redstonerepository:storage:1, Gelid Gem Block
redstonerepository:material:0, Gelid Enderium Dust
redstonerepository:material:1, Gelid Enderium Ingot
redstonerepository:material:2, Gelid Enderium Nugget
redstonerepository:material:3, Gelid Enderium Gear
redstonerepository:material:4, Gelid Enderium Plate
redstonerepository:material:5, Gelid Gem
redstonerepository:material:6, Gelid Rod
redstonerepository:material:7, Gelid Enderium Armor Plating
redstonerepository:material:8, Fluxed String
redstonerepository:armor.helmet_gelid, Enderium Flux Helmet
redstonerepository:armor.plate_gelid, Enderium Flux Chestplate
redstonerepository:armor.legs_gelid, Enderium Flux Leggings
redstonerepository:armor.boots_gelid, Enderium Flux Boots
redstonerepository:tool.battlewrench_gelid, Gelid Enderium Battle-Wrench
redstonerepository:tool.sword_gelid, Gelid Enderium Sword
redstonerepository:tool.shovel_gelid, Gelid Enderium Shovel
redstonerepository:tool.pickaxe_gelid, Gelid Enderium Pickaxe
redstonerepository:tool.axe_gelid, Gelid Enderium Axe
redstonerepository:tool.sickle_gelid, Gelid Enderium Sickle
redstonerepository:capacitor_gelid:0, Gelid Flux Capacitor Amulet
redstonerepository:capacitor_gelid:0, Gelid Flux Capacitor Amulet
redstonerepository:feeder, Endoscopic Gastrostomizer
redstonerepository:ring_effect, Alchemical Stasis Ring
redstonerepository:ring_mining, Destructive Stabilization Ring
redstonerepository:ring_base, Gelid Enderium Ring
rusticthaumaturgy:cinderfire_wort, Cinderfire Wort
rusticthaumaturgy:shimmerdew_wort, Shimmerdew Wort
rusticthaumaturgy:viscous_wort, Viscous Wort
rusticthaumaturgy:cinderfire_whiskey, Cinderfire Whiskey
rusticthaumaturgy:shimmerdew_spirits, Shimmerdew Spirits
rusticthaumaturgy:viscous_brew, Viscous Brew
rusticthaumaturgy:candle_brass, Brass Candle
rusticthaumaturgy:chain_brass, Brass Chain
rusticthaumaturgy:chandelier_brass, Brass Chandelier Ring
rusticthaumaturgy:lantern_brass, Brass Lantern
rusticthaumaturgy:chair_greatwood, Greatwood Chair
rusticthaumaturgy:chair_silverwood, Silverwood Chair
rusticthaumaturgy:table_greatwood, Greatwood Table
rusticthaumaturgy:table_silverwood, Silverwood Table
rusticthaumaturgy:sconce_aer,  Aer Crystal Sconce
rusticthaumaturgy:sconce_brass_aer,  Aer Crystal Brass Sconce
rusticthaumaturgy:sconce_terra, Terra Crystal Sconce
rusticthaumaturgy:sconce_brass_terra, Terra Crystal Brass Sconce
rusticthaumaturgy:sconce_ignis, Ignis Crystal Sconce
rusticthaumaturgy:sconce_brass_ignis, Ignis Crystal Brass Sconce
rusticthaumaturgy:sconce_aqua, Aqua Crystal Sconce
rusticthaumaturgy:sconce_brass_aqua, Aqua Crystal Brass Sconce
rusticthaumaturgy:sconce_ordo, Ordo Crystal Sconce
rusticthaumaturgy:sconce_brass_ordo, Ordo Crystal Brass Sconce
rusticthaumaturgy:sconce_perditio, Perditio Crystal Sconce
rusticthaumaturgy:sconce_brass_perditio, Perditio Crystal Brass Sconce
rusticthaumaturgy:sconce_vacuos, Vacuos Crystal Sconce
rusticthaumaturgy:sconce_brass_vacuos, Vacuos Crystal Brass Sconce
rusticthaumaturgy:sconce_lux, Lux Crystal Sconce
rusticthaumaturgy:sconce_brass_lux, Lux Crystal Brass Sconce
rusticthaumaturgy:sconce_motus, Motus Crystal Sconce
rusticthaumaturgy:sconce_brass_motus, Motus Crystal Brass Sconce
rusticthaumaturgy:sconce_gelum, Gelum Crystal Sconce
rusticthaumaturgy:sconce_brass_gelum, Gelum Crystal Brass Sconce
rusticthaumaturgy:sconce_vitreus, Vitreus Crystal Sconce
rusticthaumaturgy:sconce_brass_vitreus, Vitreus Crystal Brass Sconce
rusticthaumaturgy:sconce_metallum, Metallum Crystal Sconce
rusticthaumaturgy:sconce_brass_metallum, Metallum Crystal Brass Sconce
rusticthaumaturgy:sconce_victus, Victus Crystal Sconce
rusticthaumaturgy:sconce_brass_victus, Victus Crystal Brass Sconce
rusticthaumaturgy:sconce_mortuus, Mortuus Crystal Sconce
rusticthaumaturgy:sconce_brass_mortuus, Mortuus Crystal Brass Sconce
rusticthaumaturgy:sconce_potentia, Potentia Crystal Sconce
rusticthaumaturgy:sconce_brass_potentia, Potentia Crystal Brass Sconce
rusticthaumaturgy:sconce_permutatio, Permutatio Crystal Sconce
rusticthaumaturgy:sconce_brass_permutatio, Permutatio Crystal Brass Sconce
rusticthaumaturgy:sconce_praecantatio, Praecantatio Crystal Sconce
rusticthaumaturgy:sconce_brass_praecantatio, Praecantatio Crystal Brass Sconce
rusticthaumaturgy:sconce_auram, Auram Crystal Sconce
rusticthaumaturgy:sconce_brass_auram, Auram Crystal Brass Sconce
rusticthaumaturgy:sconce_alkimia, Alkimia Crystal Sconce
rusticthaumaturgy:sconce_brass_alkimia, Alkimia Crystal Brass Sconce
rusticthaumaturgy:sconce_vitium, Vitium Crystal Sconce
rusticthaumaturgy:sconce_brass_vitium, Vitium Crystal Brass Sconce
rusticthaumaturgy:sconce_tenebrae, Tenebrae Crystal Sconce
rusticthaumaturgy:sconce_brass_tenebrae, Tenebrae Crystal Brass Sconce
rusticthaumaturgy:sconce_alienis, Alienis Crystal Sconce
rusticthaumaturgy:sconce_brass_alienis, Alienis Crystal Brass Sconce
rusticthaumaturgy:sconce_volatus, Volatus Crystal Sconce
rusticthaumaturgy:sconce_brass_volatus, Volatus Crystal Brass Sconce
rusticthaumaturgy:sconce_herba, Herba Crystal Sconce
rusticthaumaturgy:sconce_brass_herba, Herba Crystal Brass Sconce
rusticthaumaturgy:sconce_instrumentum, Instrumentum Crystal Sconce
rusticthaumaturgy:sconce_brass_instrumentum, Instrumentum Crystal Brass Sconce
rusticthaumaturgy:sconce_fabrico, Fabrico Crystal Sconce
rusticthaumaturgy:sconce_brass_fabrico, Fabrico Crystal Brass Sconce
rusticthaumaturgy:sconce_machina, Machina Crystal Sconce
rusticthaumaturgy:sconce_brass_machina, Machina Crystal Brass Sconce
rusticthaumaturgy:sconce_vinculum, Vinculum Crystal Sconce
rusticthaumaturgy:sconce_brass_vinculum, Vinculum Crystal Brass Sconce
rusticthaumaturgy:sconce_spiritus, Spiritus Crystal Sconce
rusticthaumaturgy:sconce_brass_spiritus, Spiritus Crystal Brass Sconce
rusticthaumaturgy:sconce_cognitio, Cognitio Crystal Sconce
rusticthaumaturgy:sconce_brass_cognitio, Cognitio Crystal Brass Sconce
rusticthaumaturgy:sconce_sensus, Sensus Crystal Sconce
rusticthaumaturgy:sconce_brass_sensus, Sensus Crystal Brass Sconce
rusticthaumaturgy:sconce_aversio, Aversio Crystal Sconce
rusticthaumaturgy:sconce_brass_aversio, Aversio Crystal Brass Sconce
rusticthaumaturgy:sconce_praemunio, Praemunio Crystal Sconce
rusticthaumaturgy:sconce_brass_praemunio, Praemunio Crystal Brass Sconce
rusticthaumaturgy:sconce_desiderium, Desiderium Crystal Sconce
rusticthaumaturgy:sconce_brass_desiderium, Desiderium Crystal Brass Sconce
rusticthaumaturgy:sconce_exanimis, Exanimis Crystal Sconce
rusticthaumaturgy:sconce_brass_exanimis, Exanimis Crystal Brass Sconce
rusticthaumaturgy:sconce_bestia, Bestia Crystal Sconce
rusticthaumaturgy:sconce_brass_bestia, Bestia Crystal Brass Sconce
rusticthaumaturgy:sconce_humanus, Humanus Crystal Sconce
rusticthaumaturgy:sconce_brass_humanus, Humanus Crystal Brass Sconce
rusticthaumaturgy:dust_tiny_blaze,  Tiny Pile of Blaze Dust
rusticthaumaturgy:cindermote, Cindermote
rusticthaumaturgy:shimmerpetal, Shimmerpetal
rusticthaumaturgy:viscap, Viscap
rusticthaumaturgy:cindermote_seeds, Cindermote Seeds
rusticthaumaturgy:shimmerpetal_bulb, Shimmerpetal Bulb
rusticthaumaturgy:viscap_spores, Viscap Spores
rusticbopwoods:chair_sacred_oak, Sacred Oak Chair
rusticbopwoods:chair_cherry, Cherry Chair
rusticbopwoods:chair_umbran, Umbran Chair
rusticbopwoods:chair_fir, Fir Chair
rusticbopwoods:chair_ethereal, Ethereal Chair
rusticbopwoods:chair_magic, Magic Chair
rusticbopwoods:chair_mangrove, Mangrove Chair
rusticbopwoods:chair_palm, Palm Chair
rusticbopwoods:chair_redwood, Redwood Chair
rusticbopwoods:chair_willow, Willow Chair
rusticbopwoods:chair_pine, Pine Chair
rusticbopwoods:chair_hellbark, Hellbark Chair
rusticbopwoods:chair_jacaranda, Jacaranda Chair
rusticbopwoods:chair_mahogany, Mahogany Chair
rusticbopwoods:chair_ebony, Ebony Chair
rusticbopwoods:chair_eucalyptus, Eucalyptus Chair
rusticbopwoods:table_sacred_oak, Sacred Oak Table
rusticbopwoods:table_cherry, Cherry Table
rusticbopwoods:table_umbran, Umbran Table
rusticbopwoods:table_fir, Fir Table
rusticbopwoods:table_ethereal, Ethereal Table
rusticbopwoods:table_magic, Magic Table
rusticbopwoods:table_mangrove, Mangrove Table
rusticbopwoods:table_palm, Palm Table
rusticbopwoods:table_redwood, Redwood Table
rusticbopwoods:table_willow, Willow Table
rusticbopwoods:table_pine, Pine Table
rusticbopwoods:table_hellbark, Hellbark Table
rusticbopwoods:table_jacaranda, Jacaranda Table
rusticbopwoods:table_mahogany, Mahogany Table
rusticbopwoods:table_ebony, Ebony Table
rusticbopwoods:table_eucalyptus, Eucalyptus Table
sakura:iron_sand, Iron Sand
sakura:kawara_block, Kawara Block
sakura:kawara, Kawara
sakura:bamboo, Bamboo
sakura:ramen_block, Ramen Dough
sakura:udon_unfinished_block, Unfinished Udon
sakura:soba_block, Buckwheat Dough
sakura:pasta_block, Pasta Dough
sakura:bamboo_shoot, Bamboo Shoot
sakura:plank_bamboo, Bamboo Plank
sakura:stairs_plank_bamboo, Bamboo Plank Stairs
sakura:slab_plank_bamboo, Bamboo Plank Slab
sakura:bamboo_block, Bamboo Block
sakura:bamboo_charcoal_block, Bamboo Charcoal Block
sakura:bamboo_block_sunburnt, Sunburnt Bamboo Block
sakura:bamboo_stair, Bamboo Stairs
sakura:bamboo_stair_sunburnt, Sunburnt Bamboo Stairs
sakura:bamboo_slab, Bamboo Slab
sakura:bamboo_slab_sunburnt, Sunburnt Bamboo Slab
sakura:bamboo_fence, Bamboo Fence
sakura:bamboo_fence_sunburnt, Sunburnt Bamboo Fence
sakura:bamboo_lantern, Bamboo Lantern
sakura:windbell, Windbell
sakura:stone_lantern, Stone Lantern
sakura:cobblestone_lantern, Cobblestone Lantern
sakura:mossy_stone_lantern, Mossy Stone Lantern
sakura:red_lantern, Red Lantern
sakura:white_lantern, White Lantern
sakura:straw_block, Straw Block
sakura:straw_stair, Straw Stairs
sakura:slab_straw_block, Straw Slab
sakura:tatami_tan, Tan Tatami
sakura:tatami, Tatami
sakura:tatami_tan_ns, No Skirt Tan Tatami
sakura:tatami_ns, No Skirt Tatami
sakura:tatami_tan_half, Half Tan Tatami
sakura:tatami_half, Half Tatami
sakura:tatami_tan_ns_half, No Skirt Half Tan Tatami
sakura:tatami_ns_half, No Skirt Half Tatami
sakura:tatami_tan_carpet, Tan Tatami Carpet
sakura:tatami_carpet, Tatami Carpet
sakura:tatami_tan_ns_carpet, No Skirt Tan Tatami Carpet
sakura:tatami_ns_carpet, No Skirt Tatami Carpet
sakura:maple_cauldron, Maple Cauldron
sakura:maple_sapling_red, Red MapleSapling
sakura:maple_leaves_red, Red MapleLeaves
sakura:fallen_leaves_red, Red Fallen Leaves
sakura:maple_sapling_yellow, Yellow MapleSapling
sakura:maple_leaves_yellow, Yellow MapleLeaves
sakura:fallen_leaves_yellow, Yellow Fallen Leaves
sakura:maple_sapling_orange, Orange MapleSapling
sakura:maple_leaves_orange, Orange MapleLeaves
sakura:fallen_leaves_orange, Orange Fallen Leaves
sakura:maple_sapling_green, Green MapleSapling
sakura:maple_leaves_green, Green MapleLeaves
sakura:fallen_leaves_green, Green Fallen Leaves
sakura:maple_log, Maple Log
sakura:maple_log_sap, Maple Log
sakura:plank_maple, Maple Plank
sakura:stairs_plank_maple, Maple Plank Stairs
sakura:slab_plank_maple, Maple Plank Slab
sakura:sakuraleaves, Sakura Leaves
sakura:sakura_sapling, Sakura Sapling
sakura:sakura_log, Sakura Log
sakura:plank_sakura, Sakura Plank
sakura:stairs_plank_sakura, Sakura Plank Stairs
sakura:slab_plank_sakura, Sakura Plank Slab
sakura:umeleaves, Plum Leaves
sakura:ume_sapling, Plum Sapling
sakura:ume_log, Plum Log
sakura:tatara, Tatara
sakura:maple_spile, Maple Spile
sakura:obon, Obon
sakura:stone_mortar, Stone Mortar
sakura:straw_web, Straw Web
sakura:barrel, Barrel
sakura:barrel_distillation, Distillation Barrel
sakura:campfire_idle, Campfire
sakura:pepper_splint, Pepper Splint
sakura:vanilla_splint, Vanilla Splint
sakura:grape_splint_stand, Grape Splint Stand
sakura:grape_splint, Grape Splint
sakura:kitunebi, Kitsunebi
sakura:shoji, Shoji
sakura:andon, Andon
sakura:taiko, Taiko
sakura:zabuton, Zabuton
sakura:noren_white, White Noren
sakura:noren_blue, Blue Noren
sakura:noren_pink, Pink Noren
sakura:sakura_diamond_ore, Sakura Diamond Ore
sakura:sakura_diamond_block, Block of Sakura Diamond
sakura:teishoku_fish_cooked, Cooked Fish Teishoku
sakura:teishoku_fish_raw, Raw Fish Teishoku
sakura:teishoku_yakiniku, Yakiniku Teishoku
sakura:teishoku_tamagoyaki, Tamagoyaki Teishoku
sakura:teishoku_fried, Fried Teishoku
sakura:teishoku_tempura, Tempura Teishoku
sakura:teishoku_burger, Burger Teishoku
sakura:teishoku_katsu, Katsu Teishoku
sakura:sushi_plate, Sushi Plate
sakura:tempura_plate, Tempura Plate
sakura:mushroom_fallen_leaves, Fallen Leaves With Mushroom
sakura:cup:0, Cup
sakura:cooking_pot, Cooking Pot
sakura:kimono, Kimono
sakura:haori, Haori
sakura:bamboo_door, Bamboo Door
sakura:tomato, Tomato
sakura:tomato_seeds, Tomato Seeds
sakura:eggplant, Eggplant
sakura:eggplant_seeds, Eggplant Seeds
sakura:cabbage, Cabbage
sakura:cabbage_seeds, Cabbage Seeds
sakura:onion, Onion
sakura:onion_seeds, Onion Seeds
sakura:radish, Radish
sakura:radish_seeds, Radish Seeds
sakura:rice_seeds, Rice Seeds
sakura:red_bean, Red Bean
sakura:buckwheat, Buckwheat
sakura:rapeseeds, RapeSeeds
sakura:seaweed_raw, Raw Seaweed
sakura:taro, Taro
sakura:knife_noodle, Noodle Cutting Knife
sakura:knife_fish, Fish Cutting Knife
sakura:sakura_diamond, Sakura Diamond
sakura:sakura_pickaxe, Sakura Diamond Pickaxe
sakura:sakura_axe, Sakura Diamond Axe
sakura:sakura_shovel, Sakura Diamond Shovel
sakura:sakura_hoe, Sakura Diamond Hoe
sakura:sakura_knife_noodle, Sakura Noodle Cutting Knife
sakura:sakura_knife_fish, Sakura Fish Cutting Knife
sakura:materials:0, Straw
sakura:materials:1, Rice
sakura:materials:2, Salt
sakura:materials:3, Curry Powder
sakura:materials:4, Flour
sakura:materials:5, Buchwheat Flour
sakura:materials:6, Dough
sakura:materials:7, Buchwheat Dough
sakura:materials:8, Raw Ramen
sakura:materials:9, Raw Udon
sakura:materials:10, Raw Soba
sakura:materials:11, Curry Sauce
sakura:materials:12, Tomato Sauce
sakura:materials:13, White Sauce
sakura:materials:14, Tempura Batter
sakura:materials:15, Chestnut Burrs
sakura:materials:16, Rice Flour
sakura:materials:17, Rice Dough
sakura:materials:18, Green Peppercorn
sakura:materials:19, Red Peppercorn
sakura:materials:20, Vanilla Seeds
sakura:materials:21, Vanilla
sakura:materials:22, Roast Vanilla
sakura:materials:23, Grape Seeds
sakura:materials:24, Bamboo Lumber
sakura:materials:25, Sakura Lumber
sakura:materials:26, Maple Lumber
sakura:materials:27, Black Pepper
sakura:materials:28, White Pepper
sakura:materials:29, Miso
sakura:materials:30, Breadcrumbs
sakura:materials:31, Chestnut
sakura:materials:32, Noodle Soup
sakura:materials:33, Soysause
sakura:materials:34, Seaweed
sakura:materials:35, Alkali
sakura:materials:36, Yeast
sakura:materials:37, Hop
sakura:materials:38, Brown Rice
sakura:materials:39, Green Tea Leaves
sakura:materials:40, Black Tea Leaves
sakura:materials:41, Earl Grey Leaves
sakura:materials:42, Fruit Tea Leaves
sakura:materials:43, Mocha
sakura:materials:44, Rice Tea Leaves
sakura:materials:45, Mint
sakura:materials:46, Mint Tea Leaves
sakura:materials:47, Empty Bottle
sakura:materials:48, Sunburnt Bamboo
sakura:materials:49, Maple Syrup
sakura:materials:50, Sakura Coin
sakura:materials:51, Bamboo Charcoal
sakura:materials:52, Zuku
sakura:materials:53, Zuku Ingot
sakura:materials:54, Sagegane
sakura:materials:55, Tamahagane
sakura:materials:56, Steel Ingot
sakura:materials:57, Raw Pasta
sakura:materials:58, Bento Box
sakura:materials:59, Silk
sakura:materials:60, Worcester Sauce
sakura:materials:61, Mayonaise
sakura:materials:62, Vinegar
sakura:materials:63, Imo-gara
sakura:materials:64, Dried Imo-gara
sakura:materials:65, Imo-gara-nawa Piece
sakura:materials:66, Miso Ball
sakura:imogaranawa:0, item.sakura.imogaranawa.name
sakura:foodset:0, Grape
sakura:foodset:1, Maple Cookie
sakura:foodset:2, Bread Rice
sakura:foodset:3, Red Bean Paste
sakura:foodset:4, Bun
sakura:foodset:5, Cheese
sakura:foodset:6, Katsu
sakura:foodset:7, Cooked Rice
sakura:foodset:8, Bambooshoot Rice
sakura:foodset:9, Fish Rice
sakura:foodset:10, Beef Rice
sakura:foodset:11, Pork Rice
sakura:foodset:12, Mushroom Rice
sakura:foodset:13, Egg Rice
sakura:foodset:14, Egg Beef Rice
sakura:foodset:15, Egg Pork Rice
sakura:foodset:16, Katsu Rice
sakura:foodset:17, Oyako Rice
sakura:foodset:18, Fish Oyako Rice
sakura:foodset:19, Ramen
sakura:foodset:20, Beef Ramen
sakura:foodset:21, Egg Ramen
sakura:foodset:22, Tempura Ramen
sakura:foodset:23, Friedtofu Ramen
sakura:foodset:24, Katsu Ramen
sakura:foodset:25, Large Ramen
sakura:foodset:26, Udon
sakura:foodset:27, Beef Udon
sakura:foodset:28, Egg Udon
sakura:foodset:29, Tempura Udon
sakura:foodset:30, Friedtofu Udon
sakura:foodset:31, Katsu Udon
sakura:foodset:32, Large Udon
sakura:foodset:33, Yaki Udon
sakura:foodset:34, Soba
sakura:foodset:35, Beef Soba
sakura:foodset:36, Egg Soba
sakura:foodset:37, Tempura Soba
sakura:foodset:38, Friedtofu Soba
sakura:foodset:39, Katsu Soba
sakura:foodset:40, Large Soba
sakura:foodset:41, Zaru Soba
sakura:foodset:42, Onigiri
sakura:foodset:43, Bambooshoot Onigiri
sakura:foodset:44, Fish Onigiri
sakura:foodset:45, Mushroom Onigiri
sakura:foodset:46, Seaweed Onigiri
sakura:foodset:47, Tempura Onigiri
sakura:foodset:48, Raw Burger
sakura:foodset:49, Burger
sakura:foodset:50, Burger Dish
sakura:foodset:51, Curry Rice
sakura:foodset:52, Katsu Curry Rice
sakura:foodset:53, Burger Curry Rice
sakura:foodset:54, Cheese Curry Rice
sakura:foodset:55, Cheese Katsu Curry Rice
sakura:foodset:56, Cheese Burger Curry Rice
sakura:foodset:57, Mashed Potato
sakura:foodset:58, Mochi
sakura:foodset:59, Toasted Mochi
sakura:foodset:60, Sakura Mochi
sakura:foodset:61, Ohagi
sakura:foodset:62, Croquette
sakura:foodset:63, Natto
sakura:foodset:64, Natto Rice
sakura:foodset:65, Natto Egg Rice
sakura:foodset:66, Nikujaga
sakura:foodset:67, Omurice
sakura:foodset:68, Fried Rice
sakura:foodset:69, Hamburger
sakura:foodset:70, Cheese Burger
sakura:foodset:71, Mabo tofu
sakura:foodset:72, Mabo eggplant
sakura:foodset:73, Toasted Chestnut
sakura:foodset:74, Red Bean Soup
sakura:foodset:75, Pound Cake
sakura:foodset:76, Osuimono
sakura:foodset:77, Ochazuke
sakura:foodset:78, Shrimp
sakura:foodset:79, Tempura
sakura:foodset:80, Fishcake
sakura:foodset:81, Tofu
sakura:foodset:82, Fried Tofu
sakura:foodset:83, Oden
sakura:foodset:84, Dananko
sakura:foodset:85, Danmitarashi
sakura:foodset:86, Dansansyoku
sakura:foodset:87, Baked Eggplant
sakura:foodset:88, Fried Chicken
sakura:foodset:89, Sashimi
sakura:foodset:90, Beef Stick
sakura:foodset:91, Chicken Stick
sakura:foodset:92, Pork Stick
sakura:foodset:93, Croquette Ramen
sakura:foodset:94, Croquette Udon
sakura:foodset:95, Croquette Soba
sakura:foodset:96, Chicken Ramen
sakura:foodset:97, Chicken Udon
sakura:foodset:98, Chicken Soba
sakura:foodset:99, Tamagoyaki
sakura:foodset:100, Sushi
sakura:foodset:101, Tamago Sushi
sakura:foodset:102, Ehoumaki
sakura:foodset:103, Pudding
sakura:foodset:104, Maple Pudding
sakura:foodset:105, Rea Bean Rice
sakura:foodset:106, Grilled fish
sakura:foodset:107, Fries
