+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold, village |
| 159 | twilightforest:highlands_center            | Final Plateau                                              |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                              | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M                                      |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold, village |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 168 | twilightforest:thornlands                  | Thornlands                                                 |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                             | stronghold          |
| 169 | twilightforest:spooky_forest               | Spooky Forest                                              |    0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                             | stronghold          |
| 170 | tofucraft:zunda_tofuplain                  | ZundaTofuPlains                                            |    0.42 | MEDIUM   | 0.92 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 171 | tofucraft:tofuplain                        | TofuPlains                                                 |    0.42 | MEDIUM   | 0.92 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 172 | tofucraft:tofubuilding                     | TofuBuildings                                              |    0.42 | MEDIUM   | 0.92 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 173 | tofucraft:tofuforest                       | TofuForest                                                 |    0.47 | MEDIUM   | 0.97 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 174 | tofucraft:tofuforest_hills                 | TofuForestHills                                            |    0.47 | MEDIUM   | 0.97 | false | false   |            | HILLS, WET                                                        | stronghold          |
| 175 | tofucraft:tofuleek_plain                   | LeekPlains                                                 |    0.51 | MEDIUM   | 0.93 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 176 | tofucraft:tofuplain_hills                  | TofuPlainHills                                             |    0.42 | MEDIUM   | 0.92 | false | false   |            | PLAINS, WET                                                       | stronghold          |
| 177 | tofucraft:tofuriver                        | TofuRiver                                                  |    0.51 | MEDIUM   | 0.93 | false | false   |            | RIVER, SWAMP, WATER, WET                                          |                     |
| 178 | tofucraft:tofumountain                     | TofuMountain                                               |    0.32 | MEDIUM   | 0.76 | false | false   |            | HILLS                                                             | stronghold          |
| 179 | netherex:ruthless_sands                    | Ruthless Sands                                             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA                          | stronghold          |
| 180 | netherex:fungi_forest                      | Fungi Forest                                               |    1.10 | WARM     | 0.00 | false | false   |            | COLD, DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA, WET            | stronghold          |
| 181 | netherex:torrid_wasteland                  | Torrid Wasteland                                           |    4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SAVANNA, WASTELAND                      | stronghold          |
| 182 | netherex:arctic_abyss                      | Arctic Abyss                                               |    0.00 | COLD     | 0.00 | false | false   |            | COLD, DRY, NETHER, PLAINS, WET                                    | stronghold          |
| 183 | sakura:bamboo_forest                       | BambooForest                                               |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | stronghold          |
| 184 | sakura:maple_forest                        | MapleForest                                                |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | stronghold          |
| 185 | thaumicaugmentation:emptiness              | Emptiness                                                  |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                                        | spawn               |
| 186 | thaumicaugmentation:tainted_lands          | Tainted Lands                                              |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                                                | spawn               |
| 187 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID                       | spawn, stronghold   |
| 188 | defiledlands:desert_defiled                | Defiled Desert                                             |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY, SPOOKY                                           | stronghold          |
| 189 | defiledlands:plains_defiled                | Defiled Plains                                             |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, SPOOKY                                                    | stronghold          |
| 190 | defiledlands:forest_tenebra                | Tenebra Forest                                             |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, SPOOKY                                                    | stronghold          |
| 191 | defiledlands:forest_vilespine              | Vilespine Forest                                           |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, SPOOKY                                                    | stronghold          |
| 192 | defiledlands:hills_defiled                 | Defiled Hills                                              |    0.20 | MEDIUM   | 0.30 | false | false   | COOL       | HILLS, MOUNTAIN, SPOOKY                                           | stronghold          |
| 193 | defiledlands:swamp_defiled                 | Defiled Swamp                                              |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SPOOKY, SWAMP, WET                                                |                     |
| 194 | defiledlands:ice_plains_defiled            | Defiled Ice Plains                                         |    0.00 | COLD     | 0.50 | false | false   | ICY        | COLD, SNOWY, SPOOKY, WASTELAND                                    | stronghold          |
| 195 | candymod:biome_cotton_candy                | CottonCandyPlains                                          |    0.80 | MEDIUM   | 0.30 | false | false   | COOL       | DRY, RARE, SPARSE                                                 | stronghold          |
| 196 | candymod:biome_chocolate_forest            | ChocolateForest                                            |    0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST, HILLS, RARE                                        | stronghold          |
| 197 | candymod:biome_gummy_swamp                 | GummySwamp                                                 |    0.90 | MEDIUM   | 0.80 | false | false   | WARM       | RARE, SWAMP, WET                                                  | stronghold          |
| 198 | aether_legacy:aether_highlands             | Aether                                                     |    0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, MAGICAL, VOID                                               | stronghold          |
| 199 | abyssalcraft:darklands                     | Darklands                                                  |    0.50 | MEDIUM   | 0.50 | false | false   | WARM       | SPOOKY, WASTELAND                                                 | stronghold, village |
| 200 | abyssalcraft:darklands_forest              | Darklands Forest                                           |    0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, SPOOKY                                                    | stronghold, village |
| 201 | abyssalcraft:darklands_plains              | Darklands Plains                                           |    0.50 | MEDIUM   | 0.50 | false | false   | WARM       | PLAINS, SPOOKY                                                    | stronghold, village |
| 202 | abyssalcraft:darklands_hills               | Darklands Highland                                         |    0.20 | MEDIUM   | 0.30 | false | false   | COOL       | HILLS, SPOOKY                                                     | stronghold          |
| 203 | abyssalcraft:darklands_mountains           | Darklands Mountains                                        |    0.20 | MEDIUM   | 0.30 | false | false   | COOL       | MOUNTAIN, SPOOKY                                                  | stronghold          |
| 204 | abyssalcraft:coralium_infested_swamp       | Coralium Infested Swamp                                    |    0.50 | MEDIUM   | 0.50 | false | false   | WARM       | SWAMP                                                             |                     |
| 205 | abyssalcraft:abyssal_wastelands            | Abyssal Wastelands                                         |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 206 | abyssalcraft:dreadlands                    | Dreadlands                                                 |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 207 | abyssalcraft:purified_dreadlands           | Purified Dreadlands                                        |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 208 | abyssalcraft:dreadlands_forest             | Dreadlands Forest                                          |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 209 | abyssalcraft:dreadlands_mountains          | Dreadlands Mountains                                       |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 210 | abyssalcraft:omothol                       | Omothol                                                    |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 211 | abyssalcraft:dark_realm                    | Dark Realm                                                 |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 212 | abyssalcraft:purged                        | Purged                                                     |    0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 213 | stygian:stygian_growth                     | Stygian Growth                                             |    0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
| 214 | stygian:acidic_plains                      | Acidic Plains                                              |    0.50 | MEDIUM   | 0.50 | false | false   |            | END                                                               | stronghold          |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
